id,title,source_url,final_url,domain,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,content_hash,url,source_domain,source_file,crawl_time,content_length
PUBEXP000011,中心简介,https://www.itc.tsinghua.edu.cn/zxgk/zxjj.htm,https://www.itc.tsinghua.edu.cn/zxgk/zxjj.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:56+08:00,校园办事,public,public_expansion_v1,831def2bbce0e2e3ae154731e4c64890153d672659cff68cd6392742e7302b52,https://www.itc.tsinghua.edu.cn/zxgk/zxjj.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000011_中心简介.md,2026-08-12T19:41:56+08:00,468
PUBEXP000012,党建专栏-清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/djzl.htm,https://www.itc.tsinghua.edu.cn/djzl.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:57+08:00,校园办事,public,public_expansion_v1,b245965fe7eaef37dc78fb6c71535def9e8a4025d0366871d84fd2f6bbb042ba,https://www.itc.tsinghua.edu.cn/djzl.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000012_党建专栏-清华大学信息化技术中心.md,2026-08-12T19:41:57+08:00,1666
PUBEXP000013,手牵手教手机，心连心助养老——运行服务党支部“为群众办实事”实践活动,https://www.itc.tsinghua.edu.cn/info/1003/2209.htm,https://www.itc.tsinghua.edu.cn/info/1003/2209.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:57+08:00,校园生活,public,public_expansion_v1,b92e5d92306395ba13e96d86d4edd118e06b4146c82953ff57772d558257ad41,https://www.itc.tsinghua.edu.cn/info/1003/2209.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000013_手牵手教手机，心连心助养老——运行服务党支部“为群众办实事”实践活动.md,2026-08-12T19:41:57+08:00,669
PUBEXP000014,动态新闻-清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/dtxw.htm,https://www.itc.tsinghua.edu.cn/dtxw.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:41:59+08:00,校园办事,public,public_expansion_v1,ac401c6d1b9f669dae33621492db213cabec39ddea13683642a3ffcebf54ac48,https://www.itc.tsinghua.edu.cn/dtxw.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000014_动态新闻-清华大学信息化技术中心.md,2026-08-12T19:41:59+08:00,1525
PUBEXP000015,信息化技术中心、网络研究院开展端午节前安全检查,https://www.itc.tsinghua.edu.cn/info/1004/2206.htm,https://www.itc.tsinghua.edu.cn/info/1004/2206.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:42:00+08:00,校园办事,public,public_expansion_v1,5e95b6991e07389197e06459564ebc6f37b41657a55dae118aee8ebc93114928,https://www.itc.tsinghua.edu.cn/info/1004/2206.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000015_信息化技术中心、网络研究院开展端午节前安全检查.md,2026-08-12T19:42:00+08:00,669
PUBEXP000016,招聘信息-清华大学信息化技术中心,https://www.itc.tsinghua.edu.cn/zpxx.htm,https://www.itc.tsinghua.edu.cn/zpxx.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:42:03+08:00,校园办事,public,public_expansion_v1,899f1466a95f4c29485d50ec3e78fea9591ee26d967b7070a18dfd22a398b533,https://www.itc.tsinghua.edu.cn/zpxx.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000016_招聘信息-清华大学信息化技术中心.md,2026-08-12T19:42:03+08:00,842
PUBEXP000017,联系我们,https://www.itc.tsinghua.edu.cn/lxwm.htm,https://www.itc.tsinghua.edu.cn/lxwm.htm,www.itc.tsinghua.edu.cn,,,2026-08-12T19:42:04+08:00,校园办事,public,public_expansion_v1,ccda28734ffb4be2de0e81c652a407b1471ccbb84d2b83edc121663339f43928,https://www.itc.tsinghua.edu.cn/lxwm.htm,www.itc.tsinghua.edu.cn,cleaned/PUBEXP000017_联系我们.md,2026-08-12T19:42:04+08:00,598
PUBEXP000018,部门职能,https://peace.tsinghua.edu.cn/bmgk/bmzn.htm,https://peace.tsinghua.edu.cn/bmgk/bmzn.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:10+08:00,校园办事,public,public_expansion_v1,3a038cc70061ea4035a38c3521e53c4ee839b24880a53002d93bcc64f20318ca,https://peace.tsinghua.edu.cn/bmgk/bmzn.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000018_部门职能.md,2026-08-12T19:42:10+08:00,675
PUBEXP000019,科室职能,https://peace.tsinghua.edu.cn/bmgk/kszn.htm,https://peace.tsinghua.edu.cn/bmgk/kszn.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:11+08:00,校园办事,public,public_expansion_v1,ad56e8c78f7f3d91aac1b5b0869d1c6bcfc6a1b6e11a1d2b748cdc7dc8fc1548,https://peace.tsinghua.edu.cn/bmgk/kszn.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000019_科室职能.md,2026-08-12T19:42:11+08:00,734
PUBEXP000020,通知公告,https://peace.tsinghua.edu.cn/tzgg.htm,https://peace.tsinghua.edu.cn/tzgg.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:12+08:00,校园通知,public,public_expansion_v1,17132a9e9bdc0937572039be53f55978cef068ae18dc1c8f3868186da00765ca,https://peace.tsinghua.edu.cn/tzgg.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000020_通知公告.md,2026-08-12T19:42:12+08:00,583
PUBEXP000021,新闻动态,https://peace.tsinghua.edu.cn/xwdt.htm,https://peace.tsinghua.edu.cn/xwdt.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:16+08:00,新生入校,public,public_expansion_v1,289d6ff426af5409a4c3667ce667a92a2a95d7865e3dadb6943713913b87e513,https://peace.tsinghua.edu.cn/xwdt.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000021_新闻动态.md,2026-08-12T19:42:16+08:00,1193
PUBEXP000022,校园消防,https://peace.tsinghua.edu.cn/bszn/xyxf.htm,https://peace.tsinghua.edu.cn/bszn/xyxf.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:21+08:00,校园办事,public,public_expansion_v1,b73eaa1bac91b749482ac5681c66bc9721e2e39be6124fdeb97d452d315ae283,https://peace.tsinghua.edu.cn/bszn/xyxf.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000022_校园消防.md,2026-08-12T19:42:21+08:00,277
PUBEXP000023,户政事务,https://peace.tsinghua.edu.cn/bszn/hzsw.htm,https://peace.tsinghua.edu.cn/bszn/hzsw.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:24+08:00,规章制度,public,public_expansion_v1,32b18114844287e5ae0d980cec69326bc7cfd0f2b49d076f2e7d9204b77861aa,https://peace.tsinghua.edu.cn/bszn/hzsw.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000023_户政事务.md,2026-08-12T19:42:24+08:00,498
PUBEXP000024,警示案例,https://peace.tsinghua.edu.cn/aqjs/jsal.htm,https://peace.tsinghua.edu.cn/aqjs/jsal.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:30+08:00,校园生活,public,public_expansion_v1,4494bd8a436af7bbb9185ef340157b6cfebde9368ed952a24ea5304278a6e9b8,https://peace.tsinghua.edu.cn/aqjs/jsal.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000024_警示案例.md,2026-08-12T19:42:30+08:00,539
PUBEXP000025,视频素材,https://peace.tsinghua.edu.cn/aqjs/spsc.htm,https://peace.tsinghua.edu.cn/aqjs/spsc.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:31+08:00,校园办事,public,public_expansion_v1,04bfb7aed6ae40df129319b981f26ec905624274d44df8165591057280c4d234,https://peace.tsinghua.edu.cn/aqjs/spsc.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000025_视频素材.md,2026-08-12T19:42:31+08:00,345
PUBEXP000026,法律法规,https://peace.tsinghua.edu.cn/zcfg/flfg.htm,https://peace.tsinghua.edu.cn/zcfg/flfg.htm,peace.tsinghua.edu.cn,,,2026-08-12T19:42:32+08:00,校园办事,public,public_expansion_v1,86b3d85e2266b942f1f3f28542dcb7d11bb70d9c3ad4b36c35b92b24f2e41dba,https://peace.tsinghua.edu.cn/zcfg/flfg.htm,peace.tsinghua.edu.cn,cleaned/PUBEXP000026_法律法规.md,2026-08-12T19:42:32+08:00,427
