id,title,source_url,final_url,domain,department,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,dataset_origin,source_markdown_path,content_length,content_hash
THU000058,国际合作-清华大学,https://www.tsinghua.edu.cn/jyjx/zxjy/gjhz.htm,https://www.tsinghua.edu.cn/jyjx/zxjy/gjhz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:10+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000058_国际合作-清华大学.md,2877,99959c099cda265e8a5b64b4d48126be047f58bf872a975f411aedf2c620dc0a
THU000059,在线教育研究-清华大学,https://www.tsinghua.edu.cn/jyjx/zxjy/zxjyyj.htm,https://www.tsinghua.edu.cn/jyjx/zxjy/zxjyyj.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:12+08:00,规章制度,public,public_web,public,knowledge/01_raw_public/THU000059_在线教育研究-清华大学.md,4030,135f93a89cdbf95bbc1baf95046c7e0bae4a97df76e2dd4692f2344578f3e6a8
THU000060,AI赋能教育教学-清华大学,https://www.tsinghua.edu.cn/jyjx/zxjy/AIfnjyjx.htm,https://www.tsinghua.edu.cn/jyjx/zxjy/AIfnjyjx.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:13+08:00,新生入校,public,public_web,public,knowledge/01_raw_public/THU000060_AI赋能教育教学-清华大学.md,1454,13233e3479fa94c2144e48cfd37bbe103a6d05bcec36ea5aa8899d3cc1836a8b
THU000061,精品项目-清华大学,https://www.tsinghua.edu.cn/jyjx/zsjy/jpxm.htm,https://www.tsinghua.edu.cn/jyjx/zsjy/jpxm.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:17+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000061_精品项目-清华大学.md,3994,f7ed106db7987e0c225775033516390798cba6ad5e64a9c7e51e2cd128f14b9f
THU000062,教师进修-清华大学,https://www.tsinghua.edu.cn/jyjx/zsjy/jsjx.htm,https://www.tsinghua.edu.cn/jyjx/zsjy/jsjx.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:17+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000062_教师进修-清华大学.md,1123,691ac01699fcdf746fbf9721a9ac60f61e3c3a84471bc7aa76e68835903c2465
THU000063,教育扶贫与乡村振兴-清华大学,https://www.tsinghua.edu.cn/jyjx/zsjy/jyfpyxczx.htm,https://www.tsinghua.edu.cn/jyjx/zsjy/jyfpyxczx.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:18+08:00,校园办事,public,public_web,public,knowledge/01_raw_public/THU000063_教育扶贫与乡村振兴-清华大学.md,1623,eecfdf96f143c545818a9eaf7d84fe4603860041d7676badd2869686c0a4bbf3
THU000064,科研项目概况-清华大学,https://www.tsinghua.edu.cn/kxyj/kyxm/kyxmgk.htm,https://www.tsinghua.edu.cn/kxyj/kyxm/kyxmgk.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:20+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000064_科研项目概况-清华大学.md,906,63d71f1535d8f739cf786c294f5a5d804fea2e9016a4d423d9dde190a665a424
THU000065,新立重大项目-清华大学,https://www.tsinghua.edu.cn/kxyj/kyxm/xlzdxm.htm,https://www.tsinghua.edu.cn/kxyj/kyxm/xlzdxm.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:22+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000065_新立重大项目-清华大学.md,1843,f6c3ca7f063cd4d6ef5a79115e9b6147d516f726fc607123296cf3fc23336798
THU000066,政府批建机构-清华大学,https://www.tsinghua.edu.cn/kxyj/kyjg/zfpjjg.htm,https://www.tsinghua.edu.cn/kxyj/kyjg/zfpjjg.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:24+08:00,校园办事,public,public_web,public,knowledge/01_raw_public/THU000066_政府批建机构-清华大学.md,5013,20329826aefcccb812343941557012bc07ec692b57f413710d0e7948020292de
THU000067,联合共建机构-清华大学,https://www.tsinghua.edu.cn/kxyj/kyjg/lhgjjg.htm,https://www.tsinghua.edu.cn/kxyj/kyjg/lhgjjg.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:27+08:00,校园办事,public,public_web,public,knowledge/01_raw_public/THU000067_联合共建机构-清华大学.md,6021,6ec6c338dc46031dedea1531c272248f64562e5655ba00e697d8c0ac85cfbcc1
